Gene_Name,domains,name
EIF1AD,['IPR006196'],"['RNA-binding domain, S1, IF1 type']"
RAP2C,,
FKBP4,"['IPR001179', 'IPR013026']","['FKBP-type peptidyl-prolyl cis-trans isomerase domain', 'Tetratricopeptide repeat-containing domain']"
FAM24A,,
BLOC1S4,,
TMEM140,,
CPPED1,['IPR004843'],"['Calcineurin-like phosphoesterase domain, ApaH type']"
LCMT1,,
CTBS,"['IPR001223', 'IPR011583']","['Glycoside hydrolase family 18, catalytic domain', 'Chitinase II']"
PMP22,,
MAGI2,"['IPR001478', 'IPR008144', 'IPR008145']","['PDZ domain', 'Guanylate kinase-like domain', 'Guanylate kinase/L-type calcium channel beta subunit']"
TRMT13,"['IPR007871', 'IPR021721', 'IPR022776']","['Methyltransferase TRM13', 'Zinc finger, CCCH-type, TRM13', 'TRM13/UPF0224 family, U11-48K-like CHHC zinc finger domain']"
LIN7C,"['IPR001478', 'IPR004172', 'IPR014775']","['PDZ domain', 'L27 domain', 'L27 domain, C-terminal']"
CEMIP,"['IPR019316', 'IPR025155', 'IPR039473', 'IPR039477']","['G8 domain', 'WxxW domain', 'Cell surface hyaluronidase, PANDER-like domain', 'ILEI/PANDER domain']"
CYB5D2,['IPR001199'],['Cytochrome b5-like heme/steroid binding domain']
POPDC2,['IPR001199'],['Cytochrome b5-like heme/steroid binding domain']
DDX60L,"['IPR011545', 'IPR014001']","['DEAD/DEAH box helicase domain', 'Helicase superfamily 1/2, ATP-binding domain']"
STYX,"['IPR000340', 'IPR000387', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
ETNK1,,
FAM124A,,
TRABD2A,,
SPANXA2-OT1,,
PIGY,,
GOLT1B,,
BOLA1,,
HDGFL3,"['IPR000313', 'IPR035496']","['PWWP domain', 'HDGF-related, PWWP domain']"
LUZP1,,
SMG6,"['IPR002716', 'IPR018834', 'IPR019458']","['PIN domain', 'DNA/RNA-binding domain, Est1-type', 'Telomerase activating protein Est1']"
ANKRD55,['IPR020683'],['Ankyrin repeat-containing domain']
NSMCE1,"['IPR001841', 'IPR002219', 'IPR014857']","['Zinc finger, RING-type', 'Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Zinc finger, RING-like']"
CHMP3,,
MAP3K10,"['IPR000719', 'IPR001245', 'IPR001452', 'IPR035779']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'SH3 domain', 'MLK1-3, SH3 domain']"
SIGMAR1,,
MYL7,['IPR002048'],['EF-hand domain']
DECR2,,
PTRH2,,
BARD1,"['IPR001357', 'IPR020683', 'IPR039503']","['BRCT domain', 'Ankyrin repeat-containing domain', 'BARD1, Zinc finger, RING-type']"
BLNK,['IPR000980'],['SH2 domain']
HNRNPAB,"['IPR000504', 'IPR012956', 'IPR034846']","['RNA recognition motif domain', 'CARG-binding factor, N-terminal', 'hnRNPAB, RNA recognition motif 1']"
SLC30A3,,
CACTIN,,
TIMP4,['IPR001134'],['Netrin domain']
PHLDA1,['IPR001849'],['Pleckstrin homology domain']
TC2N,"['IPR000008', 'IPR037786', 'IPR037788']","['C2 domain', 'Tandem C2 domains nuclear protein, C2A domain', 'Tandem C2 domains nuclear protein, C2B domain']"
NOXA1,"['IPR001452', 'IPR013026']","['SH3 domain', 'Tetratricopeptide repeat-containing domain']"
NKAPP1,"['IPR001452', 'IPR013026']","['SH3 domain', 'Tetratricopeptide repeat-containing domain']"
KRI1,['IPR024626'],"['Kri1-like, C-terminal']"
TTC4,['IPR013026'],['Tetratricopeptide repeat-containing domain']
GPR75,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
CABP7,['IPR002048'],['EF-hand domain']
RIMS1,"['IPR000008', 'IPR010911', 'IPR017455', 'IPR041282']","['C2 domain', 'Rab-binding domain', 'Zinc finger, FYVE-related', 'FYVE-type zinc finger']"
ZNF791,['IPR013087'],['Zinc finger C2H2-type']
KCNJ15,"['IPR040445', 'IPR041647']","['Potassium channel, inwardly rectifying, transmembrane domain', 'Inward rectifier potassium channel, C-terminal']"
FBLIM1,"['IPR040445', 'IPR041647']","['Potassium channel, inwardly rectifying, transmembrane domain', 'Inward rectifier potassium channel, C-terminal']"
STRAP,['IPR017986'],['WD40-repeat-containing domain']
AMPD3,['IPR001365'],['Adenosine/AMP deaminase domain']
TEK,"['IPR000719', 'IPR000742', 'IPR001245', 'IPR003961', 'IPR007110', 'IPR018941', 'IPR020635']","['Protein kinase domain', 'EGF-like domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Fibronectin type III', 'Immunoglobulin-like domain', 'Tyrosine-protein kinase, receptor Tie-2, Ig-like domain 1, N-terminal', 'Tyrosine-protein kinase, catalytic domain']"
ABHD10,['IPR000073'],['Alpha/beta hydrolase fold-1']
AMPD2,['IPR001365'],['Adenosine/AMP deaminase domain']
TCP11L1,['IPR001365'],['Adenosine/AMP deaminase domain']
SFT2D1,,
SEC22C,,
05-Sep,['IPR030379'],['Septin-type guanine nucleotide-binding (G) domain']
SRSF8,['IPR000504'],['RNA recognition motif domain']
SMAD5,['IPR013019'],"['MAD homology, MH1']"
NDST3,"['IPR000863', 'IPR021930']","['Sulfotransferase domain', 'Heparan sulphate-N-deacetylase']"
TMEM255B,"['IPR000863', 'IPR021930']","['Sulfotransferase domain', 'Heparan sulphate-N-deacetylase']"
PLCXD1,,
COL12A1,"['IPR001791', 'IPR002035', 'IPR003961']","['Laminin G domain', 'von Willebrand factor, type A', 'Fibronectin type III']"
DCAF4,['IPR017986'],['WD40-repeat-containing domain']
TMEM50A,,
HSD17B10,,
AACS,"['IPR000873', 'IPR032387']","['AMP-dependent synthetase/ligase', 'Acetyl-coenzyme A synthetase, N-terminal domain']"
FAM35A,['IPR031589'],"['Protein FAM35A, C-terminal domain']"
ZNF589,['IPR013087'],['Zinc finger C2H2-type']
CER1,"['IPR004133', 'IPR006207']","['DAN', 'Cystine knot, C-terminal']"
CAVIN2,,
SNX31,['IPR040842'],"['Sorting nexin-17/31, FERM domain']"
NFE4,['IPR040842'],"['Sorting nexin-17/31, FERM domain']"
INAVA,['IPR021774'],['Domain of unknown function DUF3338']
VASH2,,
GTSCR1,,
ABCA13,['IPR003439'],['ABC transporter-like']
ADIPOR2,,
ATXN2,"['IPR009604', 'IPR009818', 'IPR025852']","['LsmAD domain', 'Ataxin-2, C-terminal', 'Ataxin 2, SM domain']"
MBNL3,['IPR000571'],"['Zinc finger, CCCH-type']"
RBBP8,"['IPR013882', 'IPR019518']","['DNA endonuclease Ctp1, C-terminal', 'DNA endonuclease Ctp1, N-terminal']"
BAG3,"['IPR001202', 'IPR003103']","['WW domain', 'BAG domain']"
BAG2,['IPR003103'],['BAG domain']
SDF4,['IPR002048'],['EF-hand domain']
LZTS2,,
KIR2DL4,"['IPR003599', 'IPR013151']","['Immunoglobulin subtype', 'Immunoglobulin']"
MXRA8,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
ORAOV1,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
MTR,"['IPR000489', 'IPR003726', 'IPR004223', 'IPR006158']","['Pterin-binding domain', 'Homocysteine-binding domain', 'Vitamin B12-dependent methionine synthase, activation domain', 'Cobalamin (vitamin B12)-binding domain']"
DOK1,"['IPR002404', 'IPR037751']","['IRS-type PTB domain', 'Dok1/2/3, PTB domain']"
MCHR1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MAP4K4,"['IPR000719', 'IPR001180']","['Protein kinase domain', 'Citron homology (CNH) domain']"
CDH24,"['IPR000233', 'IPR002126']","['Cadherin, cytoplasmic domain', 'Cadherin-like']"
LINC00304,"['IPR000233', 'IPR002126']","['Cadherin, cytoplasmic domain', 'Cadherin-like']"
CDRT4,,
REEP2,,
MLYCD,"['IPR007956', 'IPR035372']","['Malonyl-CoA decarboxylase, C-terminal', 'Malonyl-CoA decarboxylase, N-terminal']"
ARNT2,"['IPR000014', 'IPR011598', 'IPR013767']","['PAS domain', 'Myc-type, basic helix-loop-helix (bHLH) domain', 'PAS fold']"
LHFPL3,,
GTF2IRD2,,
SCAI,,
CUZD1,"['IPR000859', 'IPR001507']","['CUB domain', 'Zona pellucida domain']"
MAP2K1,['IPR000719'],['Protein kinase domain']
CASZ1,['IPR013087'],['Zinc finger C2H2-type']
ZFHX4,"['IPR001356', 'IPR003604']","['Homeobox domain', 'Matrin/U1-C-like, C2H2-type zinc finger']"
KTN1,['IPR007794'],['Ribosome receptor lysine/proline rich']
GALK2,"['IPR013750', 'IPR019539']","['GHMP kinase, C-terminal domain', 'Galactokinase, N-terminal  domain']"
GUCA2A,,
STAU2,"['IPR014720', 'IPR032478']","['Double-stranded RNA-binding domain', 'Staufen, C-terminal']"
GCNT1,"['IPR014720', 'IPR032478']","['Double-stranded RNA-binding domain', 'Staufen, C-terminal']"
C19orf66,,
UBTD2,"['IPR000626', 'IPR032752']","['Ubiquitin-like domain', 'DC-UbP/UBTD2, N-terminal domain']"
DDX28,"['IPR001650', 'IPR011545', 'IPR014001', 'IPR014014']","['Helicase, C-terminal', 'DEAD/DEAH box helicase domain', 'Helicase superfamily 1/2, ATP-binding domain', 'RNA helicase, DEAD-box type, Q motif']"
MRPL45,['IPR007379'],['Tim44-like domain']
CRYZL1,['IPR020843'],"['Polyketide synthase, enoylreductase domain']"
SGK2,"['IPR000719', 'IPR017892']","['Protein kinase domain', 'Protein kinase, C-terminal']"
MESP1,,
NUDT16L1,,
C7orf50,,
ARFIP1,,
KCNAB1,['IPR023210'],['NADP-dependent oxidoreductase domain']
AIFM1,"['IPR023753', 'IPR029324']","['FAD/NAD(P)-binding domain', 'Mitochondrial apoptosis-inducing factor, C-terminal domain']"
ZCCHC3,['IPR001878'],"['Zinc finger, CCHC-type']"
KCNB1,"['IPR000210', 'IPR003131', 'IPR005821']","['BTB/POZ domain', 'Potassium channel tetramerisation-type BTB domain', 'Ion transport domain']"
C20orf96,,
ARFIP2,['IPR010504'],['Arfaptin homology (AH) domain']
CT55,['IPR025223'],['S1-like RNA binding domain']
PIGV,,
LATS1,"['IPR000719', 'IPR000961', 'IPR015940', 'IPR042706']","['Protein kinase domain', 'AGC-kinase, C-terminal', 'Ubiquitin-associated domain', 'Serine/threonine-protein kinase LATS1,  catalytic domain']"
EML2,['IPR005108'],['HELP']
CLIC3,"['IPR004045', 'IPR010987']","['Glutathione S-transferase, N-terminal', 'Glutathione S-transferase, C-terminal-like']"
CLDN1,,
MFSD10,['IPR020846'],['Major facilitator superfamily domain']
SYT2,['IPR000008'],['C2 domain']
FADS6,['IPR000008'],['C2 domain']
ODF3B,,
RRP7A,"['IPR024326', 'IPR034890']","['Ribosomal RNA-processing protein 7, C-terminal domain', 'Rrp7A, RNA recognition motif']"
EXD3,"['IPR002562', 'IPR037432']","[""3'-5' exonuclease domain"", ""Exonuclease Mut-7, DEDDy 3'-5' exonuclease domain""]"
MOB4,"['IPR002562', 'IPR037432']","[""3'-5' exonuclease domain"", ""Exonuclease Mut-7, DEDDy 3'-5' exonuclease domain""]"
C1orf127,"['IPR002562', 'IPR037432']","[""3'-5' exonuclease domain"", ""Exonuclease Mut-7, DEDDy 3'-5' exonuclease domain""]"
C8orf31,"['IPR002562', 'IPR037432']","[""3'-5' exonuclease domain"", ""Exonuclease Mut-7, DEDDy 3'-5' exonuclease domain""]"
TMED5,['IPR009038'],['GOLD domain']
TXNDC17,['IPR010357'],"['Domain of unknown function DUF953, thioredoxin-like']"
SBDS,"['IPR018978', 'IPR019783']","['Ribosome maturation protein SBDS, C-terminal', 'Ribosome maturation protein SBDS, N-terminal']"
COQ4,,
SLCO6A1,,
APOBEC3G,['IPR002125'],['Cytidine and deoxycytidylate deaminase domain']
UTP11,,
NUDT6,"['IPR000086', 'IPR040618']","['NUDIX hydrolase domain', 'Pre-nudix hydrolase domain']"
GLP2R,['IPR017981'],"['GPCR, family 2-like']"
COL18A1,"['IPR001791', 'IPR010363', 'IPR010515', 'IPR020067', 'IPR035523']","['Laminin G domain', 'Domain of unknown function DUF959, collagen XVIII, N-terminal', 'Collagenase NC10/endostatin', 'Frizzled domain', 'Collagen alpha-1(XVIII) chain, frizzled domain']"
ZDHHC18,['IPR001594'],"['Palmitoyltransferase, DHHC domain']"
GPN3,,
GNA14,,
PJVK,['IPR040460'],"['Gasdermin, pore forming domain']"
NAA38,,
FABP4,"['IPR000463', 'IPR000566']","['Cytosolic fatty-acid binding', 'Lipocalin/cytosolic fatty-acid binding domain']"
SLC12A6,"['IPR004841', 'IPR018491']","['Amino acid permease/ SLC12A domain', 'SLC12A transporter, C-terminal']"
OTOF,"['IPR000008', 'IPR012561', 'IPR012968', 'IPR032362', 'IPR037722', 'IPR037723', 'IPR037724']","['C2 domain', 'Ferlin B-domain', 'FerIin domain', 'Ferlin, C-terminal domain', 'Ferlin, third C2 domain', 'Ferlin, fourth C2 domain', 'Ferlin, fifth C2 domain']"
MYO7A,"['IPR000299', 'IPR000857', 'IPR001452', 'IPR001609', 'IPR019748', 'IPR019749', 'IPR036106', 'IPR041793', 'IPR041794']","['FERM domain', 'MyTH4 domain', 'SH3 domain', 'Myosin head, motor domain', 'FERM central domain', 'Band 4.1 domain', 'Class VII myosin, motor domain', 'Myosin VII, FERM domain C-lobe, repeat 1', 'Myosin VII, FERM domain C-lobe, repeat 2']"
ANGPTL1,['IPR002181'],"['Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain']"
CHPT1,,
PMS2P3,,
CCDC12,,
XIRP2,,
RAB2B,['IPR005225'],['Small GTP-binding protein domain']
MRPL49,,
UBE2V1,['IPR000608'],['Ubiquitin-conjugating enzyme E2']
GUCA1C,['IPR002048'],['EF-hand domain']
DYNC1I2,['IPR017986'],['WD40-repeat-containing domain']
LBR,['IPR019023'],['Lamin-B receptor of TUDOR domain']
PPP2R5D,,
TMEM202,,
SF3B6,"['IPR000504', 'IPR034150']","['RNA recognition motif domain', 'SF3B6, RNA recognition motif']"
MRPL11,"['IPR020783', 'IPR020784']","['Ribosomal protein L11, C-terminal', 'Ribosomal protein L11, N-terminal']"
EMC9,['IPR037518'],['MPN domain']
CCDC190,['IPR037518'],['MPN domain']
COL15A1,"['IPR001791', 'IPR010515']","['Laminin G domain', 'Collagenase NC10/endostatin']"
,"['IPR001791', 'IPR010515']","['Laminin G domain', 'Collagenase NC10/endostatin']"
PRELID3B,['IPR006797'],['PRELI/MSF1 domain']
TMEM191C,,
ADGRE2,"['IPR000203', 'IPR000742', 'IPR001881', 'IPR017981']","['GPS motif', 'EGF-like domain', 'EGF-like calcium-binding domain', 'GPCR, family 2-like']"
CTAGE6,"['IPR000203', 'IPR000742', 'IPR001881', 'IPR017981']","['GPS motif', 'EGF-like domain', 'EGF-like calcium-binding domain', 'GPCR, family 2-like']"
TMED7,['IPR009038'],['GOLD domain']
TSPAN33,,
PUF60,"['IPR000504', 'IPR003954', 'IPR034209', 'IPR034211', 'IPR034212']","['RNA recognition motif domain', 'RNA recognition motif domain, eukaryote', 'PUF60, RNA recognition motif 1', 'PUF60, RNA recognition motif 2', 'PUF60, RNA recognition motif 3']"
TMEM165,,
EXOSC1,"['IPR019495', 'IPR022967', 'IPR025721']","['Exosome complex component CSL4, C-terminal', 'RNA-binding domain, S1', 'Exosome complex component, N-terminal domain']"
NUDT14,['IPR000086'],['NUDIX hydrolase domain']
HELZ,['IPR000571'],"['Zinc finger, CCCH-type']"
SLC25A27,,
MAD2L2,['IPR003511'],['HORMA domain']
RRP15,,
NCAPD3,,
RBM34,"['IPR000504', 'IPR034220', 'IPR034221']","['RNA recognition motif domain', 'RBM34, RNA recognition motif 1', 'RBM34, RNA recognition motif 2']"
REXO2,['IPR013520'],"['Exonuclease, RNase T/DNA polymerase III']"
PRSS44,['IPR013520'],"['Exonuclease, RNase T/DNA polymerase III']"
BTN1A1,"['IPR001870', 'IPR003599', 'IPR003877', 'IPR003879', 'IPR006574', 'IPR007110', 'IPR013106', 'IPR013162', 'IPR037958']","['B30.2/SPRY domain', 'Immunoglobulin subtype', 'SPRY domain', 'Butyrophylin-like, SPRY domain', 'SPRY-associated', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain', 'CD80-like, immunoglobulin C2-set', 'Butyrophilin subfamily 1/2, SPRY/PRY domain']"
EVPLL,"['IPR001870', 'IPR003599', 'IPR003877', 'IPR003879', 'IPR006574', 'IPR007110', 'IPR013106', 'IPR013162', 'IPR037958']","['B30.2/SPRY domain', 'Immunoglobulin subtype', 'SPRY domain', 'Butyrophylin-like, SPRY domain', 'SPRY-associated', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain', 'CD80-like, immunoglobulin C2-set', 'Butyrophilin subfamily 1/2, SPRY/PRY domain']"
TSPAN13,,
ORC2,,
ORC1,"['IPR001025', 'IPR003593', 'IPR003959', 'IPR015163', 'IPR041083']","['Bromo adjacent homology (BAH) domain', 'AAA+ ATPase domain', 'ATPase, AAA-type, core', 'Cdc6, C-terminal', 'AAA lid domain']"
COG2,,
NUBP1,['IPR003593'],['AAA+ ATPase domain']
WASHC3,['IPR003593'],['AAA+ ATPase domain']
GNMT,['IPR041698'],['Methyltransferase domain 25']
ILK,"['IPR000719', 'IPR001245', 'IPR020683', 'IPR035692']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Ankyrin repeat-containing domain', 'Integrin-linked protein kinase, pseudokinase domain']"
TMEM221,"['IPR000719', 'IPR001245', 'IPR020683', 'IPR035692']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Ankyrin repeat-containing domain', 'Integrin-linked protein kinase, pseudokinase domain']"
WIPF3,"['IPR000719', 'IPR001245', 'IPR020683', 'IPR035692']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Ankyrin repeat-containing domain', 'Integrin-linked protein kinase, pseudokinase domain']"
PPIL1,['IPR002130'],['Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain']
NRBP1,['IPR000719'],['Protein kinase domain']
LRRTM1,,
GDPD1,['IPR030395'],['Glycerophosphodiester phosphodiesterase domain']
RNF11,"['IPR001841', 'IPR042981']","['Zinc finger, RING-type', 'RING finger protein 11, RING-H2 finger']"
UFC1,,
MTDH,,
MED31,,
ZNF546,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
TBC1D3G,['IPR000195'],['Rab-GTPase-TBC domain']
NOP16,['IPR000195'],['Rab-GTPase-TBC domain']
ZNF454,['IPR013087'],['Zinc finger C2H2-type']
TPRKB,,
TLCD2,['IPR006634'],['TRAM/LAG1/CLN8 homology domain']
TEC,"['IPR000719', 'IPR001245', 'IPR001452', 'IPR001849', 'IPR020635', 'IPR035572']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'SH3 domain', 'Pleckstrin homology domain', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase Tec, SH3 domain']"
TAF7L,,
FEZ2,,
TXK,"['IPR000980', 'IPR001245', 'IPR020635', 'IPR035870']","['SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase TXK, SH2 domain']"
ENOPH1,,
TSPAN12,,
TSPAN15,,
CCM2L,,
ABL2,"['IPR000719', 'IPR000980', 'IPR001245', 'IPR001452', 'IPR020635', 'IPR035837']","['Protein kinase domain', 'SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'SH3 domain', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase ABL, SH2 domain']"
FRK,"['IPR000719', 'IPR000980', 'IPR001245', 'IPR020635', 'IPR035805']","['Protein kinase domain', 'SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase Frk, SH2 domain']"
TCEAL5,,
TLK2,['IPR000719'],['Protein kinase domain']
PDRG1,,
SNTA1,"['IPR001478', 'IPR001849', 'IPR041428']","['PDZ domain', 'Pleckstrin homology domain', 'Syntrophin, split Pleckstrin homology (PH) domain']"
FADS2,"['IPR001199', 'IPR005804']","['Cytochrome b5-like heme/steroid binding domain', 'Fatty acid desaturase domain']"
NNT,"['IPR007698', 'IPR024605', 'IPR034300']","['Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain', 'NAD(P) transhydrogenase, alpha subunit, C-terminal', 'NADP transhydrogenase beta-like domain']"
SNAI1,['IPR013087'],['Zinc finger C2H2-type']
IKZF1,['IPR013087'],['Zinc finger C2H2-type']
BPNT1,,
MSLN,,
FAM216A,,
,,
LY6G6D,,
ACLY,"['IPR003781', 'IPR005811', 'IPR032263']","['CoA-binding', 'ATP-citrate lyase/succinyl-CoA ligase', 'ATP-citrate synthase, citrate-binding domain']"
TCOF1,['IPR003993'],['Treacle protein domain']
LY6G6C,,
PPIG,['IPR002130'],['Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain']
MPIG6B,,
XRCC4,,
SNTB2,"['IPR001478', 'IPR001849', 'IPR041428']","['PDZ domain', 'Pleckstrin homology domain', 'Syntrophin, split Pleckstrin homology (PH) domain']"
DDAH2,,
FAM96B,['IPR002744'],['MIP18 family-like']
MYO9A,"['IPR000159', 'IPR000198', 'IPR001609']","['Ras-associating (RA) domain', 'Rho GTPase-activating protein domain', 'Myosin head, motor domain']"
EFCAB9,,
PHF10,"['IPR001965', 'IPR019787']","['Zinc finger, PHD-type', 'Zinc finger, PHD-finger']"
NAT8L,,
SAMD4B,"['IPR001660', 'IPR037634']","['Sterile alpha motif domain', 'Protein Smaug, SAM domain']"
SLC9B2,,
RPS27,,
PAM16,,
ZNF329,,
FIS1,['IPR033745'],"['Mitochondria fission protein Fis1, cytosolic domain']"
MRPS23,['IPR023611'],"['Ribosomal protein S23/S25, mitochondrial']"
03-Mar,['IPR011016'],"['Zinc finger, RING-CH-type']"
MATK,"['IPR000719', 'IPR000980', 'IPR001245', 'IPR020635', 'IPR035027']","['Protein kinase domain', 'SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, catalytic domain', 'CSK-like, SH2 domain']"
CPA3,"['IPR000834', 'IPR003146']","['Peptidase M14, carboxypeptidase A', 'Carboxypeptidase, activation peptide']"
AK6,,
MRPS16,,
OAF,,
SAPCD2,,
MSRB2,['IPR002579'],['Peptide methionine sulphoxide reductase MrsB']
CPB1,"['IPR000834', 'IPR003146']","['Peptidase M14, carboxypeptidase A', 'Carboxypeptidase, activation peptide']"
MRPS18C,,
TAF9B,,
CPA1,"['IPR000834', 'IPR003146', 'IPR034248']","['Peptidase M14, carboxypeptidase A', 'Carboxypeptidase, activation peptide', 'Carboxypeptidase A, carboxypeptidase domain']"
ZSCAN5C,"['IPR003309', 'IPR013087']","['SCAN domain', 'Zinc finger C2H2-type']"
